Title,Date,Location,Description,Link
"A Play, A Pie and A Pint Autumn Season",Selected dates between 1st September 2025 - 22nd November 2025,"Oran Mor, Glasgow West End","With wonderful musicals, hilarious comedies and thrilling dramas, there is plenty of great treats to tuck into this Autumn at A Play, A Pie and A Pint!","https://www.whatsonglasgow.co.uk/event/033372-a-play,-a-pie-and-a-pint-autumn-season/"
A Wee Walk & A Whisky (or three!),11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","Enjoy a wee walk and a premium whisky tasting in a local pub with a fun, local guide and see a new side to the city on your trip with this small group tour with Walking Tours in Glasgow!",https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/
Adult Music Workshops,Selected dates between 24th March 2025 - 1st March 2026,"Amplify Academy of Music, Glasgow South Side","Always wanted to play an instrument? Now's your chance! Join Amplify Music Academy for their relaxed, one-hour daytime group lessons for adults!",https://www.whatsonglasgow.co.uk/event/152751-adult-music-workshops/
Alasdair Gray: Works from the Morag McAlpine Bequest,5th June 2025 - 5th June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End",A display of nine of Alasdair Gray's works from The Morag McAlpine Bequest is open now in the Fragile Art Gallery in Kelvingrove Art Gallery and Museum.,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/
All The Young Nudes,Selected dates between 13th January 2025 - 24th November 2025,"Sloans Bar & Restaurant, Glasgow City Centre","All The Young Nudes, the longest running life drawing club in Scotland, is held weekly on Monday evenings at Sloans!",https://www.whatsonglasgow.co.uk/event/103278-all-the-young-nudes/
Andy’s Man Club at Kelvin Hall,Selected dates between 13th January 2025 - 22nd December 2025,"Kelvin Hall, Glasgow West End","Andy's Man Club meets every Monday at 7pm in the Activity Space at Kelvin Hall... come along for a brew, a biscuit and a chat.",https://www.whatsonglasgow.co.uk/event/131861-andy’s-man-club-at-kelvin-hall/
Aye Write Glasgow’s Book Festival,6th November 2025 - 16th November 2025,Various Locations Glasgow,"Glasgow's Book Festival, Aye Write, will celebrate its 20th edition across 11 days this November, with a series of pop-up events coming before!",https://www.whatsonglasgow.co.uk/event/160959-aye-write-glasgow’s-book-festival/
"Beth Robertson Fiddes: Sea, Salt and Stone Solo Exhibition",1st November 2025 - 23rd November 2025,"Annan Gallery, Glasgow West End","Annan Gallery, Glasgow is proud to present 'Sea, Salt and Stone', a Solo Exhibition by one of Scotland's most exciting and unique Scottish landscape painters, Beth Robertson Fiddes.","https://www.whatsonglasgow.co.uk/event/164214-beth-robertson-fiddes:-sea,-salt-and-stone-solo-exhibition/"
Bright Club Glasgow,Selected dates between 10th November 2025 - 16th November 2026,"The Stand Comedy Club Glasgow, Glasgow West End",The freshest thing in stand-up – straight from the (research) field to funny with a new crop of comedic academics from Scotland's universities at The Stand Glasgow!,https://www.whatsonglasgow.co.uk/event/152212-bright-club-glasgow/
Capturing the Moment: Glasgow Then and Now,13th June 2025 - 21st December 2025,Various Locations Glasgow,"To celebrate Glasgow's 850th anniversary, students from Shawlands Academy have teamed up with Glasgow Life Museums to celebrate by curating this touring exhibition!",https://www.whatsonglasgow.co.uk/event/156560-capturing-the-moment:-glasgow-then-and-now/
